#TSS_Code	Source_Site	Study_Name	BCR
01	International_Genomics_Consortium	Ovarian_serous_cystadenocarcinoma	IGC
02	MD_Anderson_Cancer_Center	Glioblastoma_multiforme	IGC
04	Gynecologic_Oncology_Group	Ovarian_serous_cystadenocarcinoma	IGC
05	Indivumed	Lung_adenocarcinoma	IGC
06	Henry_Ford_Hospital	Glioblastoma_multiforme	IGC
07	TGen	Cell_Line_Control	IGC
08	UCSF	Glioblastoma_multiforme	IGC
09	UCSF	Ovarian_serous_cystadenocarcinoma	IGC
10	MD_Anderson_Cancer_Center	Ovarian_serous_cystadenocarcinoma	IGC
11	MD_Anderson_Cancer_Center	Lung_squamous_cell_carcinoma	IGC
12	Duke	Glioblastoma_multiforme	IGC
13	Memorial_Sloan_Kettering	Ovarian_serous_cystadenocarcinoma	IGC
14	Emory_University	Glioblastoma_multiforme	IGC
15	Mayo_Clinic__Rochester	Glioblastoma_multiforme	IGC
16	Toronto_Western_Hospital	Glioblastoma_multiforme	IGC
17	Washington_University	Lung_adenocarcinoma	IGC
18	Princess_Margaret_Hospital_(Canada)	Lung_squamous_cell_carcinoma	IGC
19	Case_Western	Glioblastoma_multiforme	IGC
1Z	Johns_Hopkins	Thymoma	NCH
20	Fox_Chase_Cancer_Center	Ovarian_serous_cystadenocarcinoma	IGC
21	Fox_Chase_Cancer_Center	Lung_squamous_cell_carcinoma	IGC
22	Mayo_Clinic__Rochester	Lung_squamous_cell_carcinoma	IGC
23	Cedars_Sinai	Ovarian_serous_cystadenocarcinoma	IGC
24	Washington_University	Ovarian_serous_cystadenocarcinoma	IGC
25	Mayo_Clinic__Rochester	Ovarian_serous_cystadenocarcinoma	IGC
26	University_of_Florida	Glioblastoma_multiforme	IGC
27	Milan__Italy_Fondazione_IRCCS_Instituto_Neuroligico_C._Besta	Glioblastoma_multiforme	IGC
28	Cedars_Sinai	Glioblastoma_multiforme	IGC
29	Duke	Ovarian_serous_cystadenocarcinoma	IGC
2A	Memorial_Sloan_Kettering_Cancer_Center	Prostate_adenocarcinoma	NCH
2E	University_of_Kansas_Medical_Center	Uterine_Corpus_Endometrial_Carcinoma	NCH
2F	Erasmus_MC	Bladder_Urothelial_Carcinoma	NCH
2G	Erasmus_MC	Testicular_Germ_Cell_Tumors	NCH
2H	Erasmus_MC	Esophageal_carcinoma	NCH
2J	Mayo_Clinic	Pancreatic_adenocarcinoma	NCH
2K	Greenville_Health_System	Kidney_renal_papillary_cell_carcinoma	NCH
2L	Technical_University_of_Munich	Pancreatic_adenocarcinoma	NCH
2M	Technical_University_of_Munich	Esophageal_carcinoma	NCH
2N	Technical_University_of_Munich	Stomach_adenocarcinoma	NCH
2P	University_of_California_San_Diego	Pancreatic_adenocarcinoma	NCH
2V	University_of_California_San_Diego	Liver_hepatocellular_carcinoma	NCH
2W	University_of_New_Mexico	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
2X	ABS_IUPUI	Testicular_Germ_Cell_Tumors	NCH
2Y	Moffitt_Cancer_Center	Liver_hepatocellular_carcinoma	NCH
